Driver,Season,SynergyScore
Lewis Hamilton,2020,100.0
Valtteri Bottas,2020,94.88848205153737
Max Verstappen,2020,65.22576086792748
Daniel Ricciardo,2020,92.12516722401683
Carlos Sainz,2020,75.1327320650421
Alexander Albon,2020,59.997196864698175
Charles Leclerc,2020,44.88500108787939
Lando Norris,2020,90.10994985737443
Pierre Gasly,2020,72.78587744449919
Lance Stroll,2020,40.65632436150304
Esteban Ocon,2020,87.50103941697849
Sebastian Vettel,2020,70.94817285155007
Daniil Kvyat,2020,86.62018243329949
Antonio Giovinazzi,2020,65.80272652344324
George Russell,2020,67.61499072250815
Romain Grosjean,2020,45.39542877908683
Kevin Magnussen,2020,37.003013610312195
Nicholas Latifi,2020,48.71202444546878
Jack Aitken,2020,81.44582944736632
Pietro Fittipaldi,2020,77.75241524523365
Max Verstappen,2021,75.08590248216933
Lewis Hamilton,2021,88.19814960794345
Valtteri Bottas,2021,68.08398235288297
Carlos Sainz,2021,91.16245924190994
Lando Norris,2021,81.24486501149781
Charles Leclerc,2021,80.42472342007429
Daniel Ricciardo,2021,89.1798327779394
Fernando Alonso,2021,87.3255879877102
Sebastian Vettel,2021,51.4831614188032
Lance Stroll,2021,61.31864814960068
Yuki Tsunoda,2021,71.75343212499885
George Russell,2021,61.065653913393795
Nicholas Latifi,2021,58.17367251740805
Antonio Giovinazzi,2021,83.42550935812146
Mick Schumacher,2021,68.56334728005419
Robert Kubica,2021,80.86388155311309
Max Verstappen,2022,97.69524470784863
Charles Leclerc,2022,94.48487783634774
George Russell,2022,80.91361894256192
Carlos Sainz,2022,54.317803600178664
Lewis Hamilton,2022,80.22836383733568
Lando Norris,2022,78.10887568204292
Esteban Ocon,2022,89.64316674365988
Valtteri Bottas,2022,86.41553557033545
Daniel Ricciardo,2022,84.1493111416869
Sebastian Vettel,2022,70.77448352620058
Kevin Magnussen,2022,71.27730227829755
Pierre Gasly,2022,72.77943468078087
Lance Stroll,2022,70.63049070063185
Yuki Tsunoda,2022,69.33245885668694
Alexander Albon,2022,16.985798206455456
Nicholas Latifi,2022,53.3025609789857
Max Verstappen,2023,99.56449348346229
Fernando Alonso,2023,81.18034765800333
Oscar Piastri,2023,52.02179069674699
Nyck De Vries,2023,52.505238592566435
Lewis Hamilton,2023,81.63155038493468
Logan Sargeant,2023,32.412456173993945
Pierre Gasly,2023,76.45749265500557
Nico Hulkenberg,2023,72.92541964591328
Yuki Tsunoda,2023,61.30427766185882
George Russell,2023,55.82843343471536
Daniel Ricciardo,2023,85.52791812106447
Esteban Ocon,2023,16.655960208908056
Lando Norris,2023,79.7771671864539
Guanyu Zhou,2023,61.66069831646373
Alexander Albon,2023,40.54753634168538
Carlos Sainz,2023,69.35086739762181
Liam Lawson,2023,84.36044310525226
Kevin Magnussen,2023,58.250383367818785
Charles Leclerc,2023,58.32864361353938
Sergio Perez,2023,71.22014288196313
Max Verstappen,2024,87.76287815392436
Fernando Alonso,2024,78.40545980309611
Oscar Piastri,2024,94.24039034769201
Lewis Hamilton,2024,70.36642145643407
Logan Sargeant,2024,41.381507839234686
Pierre Gasly,2024,42.92687198911505
Carlos Sainz,2024,72.3369913477942
Lance Stroll,2024,52.32942438783823
Valtteri Bottas,2024,60.636496276973304
Alexander Albon,2024,10.926306259863182
Oliver Bearman,2024,85.71861022752525
Guanyu Zhou,2024,58.36363669394696
Daniel Ricciardo,2024,56.710581099058956
Lando Norris,2024,96.67201454572415
Esteban Ocon,2024,61.23926183280628
Yuki Tsunoda,2024,43.0431114449436
Jack Doohan,2024,80.35727019621365
George Russell,2024,72.73054280087898
Franco Colapinto,2024,0.0
Liam Lawson,2024,84.54632158060903
Kevin Magnussen,2024,71.97924283415085
Charles Leclerc,2024,84.83577920205747
