,Driver,Season,Teammate_delta,Lap_stdev,Avg_Q,Avg_R,DNFRate,SynergyScore
0,Max Verstappen,2023,-0.5587287767453789,1.7827520879560992,3.0,1.2727272727272727,0.0,-4.329397851170663
1,Fernando Alonso,2023,-0.2919203406623702,1.9931823296232165,7.0,6.636363636363637,4.545454545454546,-26.178660085837357
2,Oscar Piastri,2023,0.5193378228519692,2.029640915048052,9.863636363636363,10.909090909090908,13.636363636363637,-60.83313701827601
3,Nyck De Vries,2023,0.5134321653098723,2.554468415443117,19.0,15.9,10.0,-60.258566953784424
4,Lewis Hamilton,2023,-0.31639658257875186,2.1834707014455894,6.363636363636363,6.181818181818182,4.545454545454546,-25.64241288701088
5,Logan Sargeant,2023,0.872996995788409,2.2768330904392386,17.227272727272727,15.818181818181818,18.181818181818183,-84.1385163545084
6,Pierre Gasly,2023,-0.44712406224690515,1.8966909901548863,11.045454545454545,10.681818181818182,4.545454545454546,-31.79169745164761
7,Nico Hulkenberg,2023,-0.12006735673931516,2.0318840415182837,10.0,14.545454545454545,4.545454545454546,-35.98950953061698
8,Lance Stroll,2023,0.2919203406623702,1.8460262957226117,12.454545454545455,,19.047619047619047,
9,Yuki Tsunoda,2023,-0.22942699824925866,2.0672088922033725,13.409090909090908,13.181818181818182,9.090909090909092,-49.80105025089745
10,George Russell,2023,0.31639658257875186,2.2841400389489865,6.5,8.090909090909092,13.636363636363637,-56.30900322358098
11,Daniel Ricciardo,2023,-0.2088550621357805,1.1433778547588174,14.0,12.714285714285714,0.0,-21.01164237215238
12,Esteban Ocon,2023,0.44712406224690515,1.798589005726088,11.181818181818182,11.863636363636363,27.272727272727273,-102.86485890581021
13,Lando Norris,2023,-0.5193378228519692,2.1202984969111833,8.136363636363637,8.0,4.545454545454546,-27.84631755420829
14,Valtteri Bottas,2023,1.2815043241107313,,13.863636363636363,13.954545454545455,13.636363636363637,
15,Guanyu Zhou,2023,-1.2815043241107313,1.7936391146208799,15.863636363636363,14.045454545454545,9.090909090909092,-49.377450023709855
16,Alexander Albon,2023,-0.872996995788409,2.0380048210916817,12.409090909090908,12.409090909090908,18.181818181818183,-74.47010414915161
17,Carlos Sainz,2023,0.13913102878075953,1.6699999942966233,5.363636363636363,7.5,9.090909090909092,-40.237807503551906
18,Liam Lawson,2023,0.30540124894563786,1.6589101278213945,14.2,12.2,0.0,-22.39916768962337
19,Kevin Magnussen,2023,0.12006735673931516,1.8542193197155294,15.090909090909092,15.590909090909092,9.090909090909092,-53.430554602142834
20,Charles Leclerc,2023,-0.13913102878075953,1.501446166775232,4.454545454545454,8.227272727272727,13.636363636363637,-53.33754355623769
21,Sergio Perez,2023,0.5587287767453789,1.841588269191244,2.0,5.863636363636363,9.090909090909092,-38.016203593641265
22,Max Verstappen,2024,-0.7391841142712394,1.5003087606927603,2.9166666666666665,3.625,4.166666666666667,-18.355428245829994
23,Fernando Alonso,2024,-0.2555087455298583,1.6861692801038317,9.583333333333334,10.166666666666666,4.166666666666667,-29.476569762429364
24,Oscar Piastri,2024,0.2377165186535144,1.5654950677810182,5.416666666666667,5.125,0.0,-10.657008972311889
25,Lewis Hamilton,2024,0.13206450026601146,1.7055836474455603,8.5,6.958333333333333,8.333333333333334,-39.0308378050337
26,Logan Sargeant,2024,0.6909124979955232,2.231411609447584,17.5,17.142857142857142,14.285714285714286,-73.47894241016243
27,Pierre Gasly,2024,-0.13308797148891288,1.6195407990384338,13.208333333333334,12.875,16.666666666666668,-71.64230192224649
28,Carlos Sainz,2024,-0.016469266763349227,1.452204927258091,5.521739130434782,5.695652173913044,8.695652173913043,-36.68884711823
29,Lance Stroll,2024,0.49759660736611855,1.4537729551728824,12.833333333333334,13.375,12.5,-60.467519314158224
30,Valtteri Bottas,2024,-0.30384028668360824,1.871029965661056,15.125,15.833333333333334,8.333333333333334,-50.5946977084577
31,Alexander Albon,2024,-0.40344191051800005,1.432007431230583,12.583333333333334,14.541666666666666,29,-109.67446065914321
32,Oliver Bearman,2024,0.512015492253866,2.396206808797433,13.0,9.666666666666666,0.0,-20.78500786437055
33,Guanyu Zhou,2024,0.30384028668360824,2.125516178980272,18,15,8.333333333333334,-53.29595484183763
34,Daniel Ricciardo,2024,-0.25287801480880284,1.6405235717875417,13.166666666666666,13.38888888888889,11.11111111111111,-55.26058488361926
35,Lando Norris,2024,-0.25242990144106453,1.4729482967780505,3.5416666666666665,4.291666666666667,0.0,-7.767062642284947
36,Esteban Ocon,2024,0.11058922138241649,1.7859208052300461,14.391304347826088,13.695652173913043,8.695652173913043,-49.87832052017512
37,Yuki Tsunoda,2024,0.1787047704455007,1.6008873992946406,11.125,13.166666666666666,16.666666666666668,-71.50415319472194
38,Jack Doohan,2024,0.560564223512344,0.6904973274391459,20.0,15.0,0.0,-27.156874438183408
39,George Russell,2024,-0.1358294641520216,1.4475029238322703,5.166666666666667,6.75,8.333333333333334,-36.22111753302535
40,Sergio Perez,2024,0.7784727485110462,1.5806133772178177,0,9.625,16.666666666666668
41,Franco Colapinto,2024,-0.16455827176247517,1.103051924952754,15.777777777777779,13.555555555555555,33.333333333333336,-122.6602002738403
42,Liam Lawson,2024,0.03145275525052208,1.5129561061411818,12.666666666666666,13.5,0.0,-22.178254105146358
43,Kevin Magnussen,2024,0.21117692952801986,1.7035386594346609,14.272727272727273,13.363636363636363,4.545454545454546,-37.11402548457167
44,Charles Leclerc,2024,-0.011492315003964748,1.4325931098230058,5.333333333333333,4.541666666666667,4.166666666666667,-21.834238368059914
